,precision,recall,f1-score,support,roc_auc,auprc
0,0.8662061859604266,0.9998201379431856,0.9282295509341694,272431.0,0.7495043967020825,0.6406279737021643
1,0.5882352941176471,0.0016610507332352523,0.0033127469771183833,42142.0,0.7495043967020825,0.6406279737021643
accuracy,0.8661010321928455,0.8661010321928455,0.8661010321928455,0.8661010321928455,0.7495043967020825,0.6406279737021643
macro avg,0.7272207400390369,0.5007405943382104,0.46577114895564387,314573.0,0.7495043967020825,0.6406279737021643
weighted avg,0.828967613915024,0.8661010321928455,0.8043224007580321,314573.0,0.7495043967020825,0.6406279737021643
